,Logistic Regression,Decision Tree,Random Forest,LGBMClassifier,XGBoost simple,CatBoost,NeuralNet
precision_mean,0.7463313682548623,0.7491392889044296,0.7529818785448923,0.8426939300031978,0.8424397188299575,0.8538054331738212,0.816170952821926
precision_max,0.7820823244552058,0.8253424657534246,0.816247582205029,0.8783542039355993,0.8823529411764706,0.8875,0.8615071283095723
precision_min,0.7035490605427975,0.6755725190839694,0.7219662058371735,0.8160291438979964,0.8073555166374781,0.819672131147541,0.7738317757009345
precision_var,0.00046150201294719304,0.000804544668550318,0.0005411338233722045,0.00024037200147300437,0.00031238730948295854,0.00028520798987654883,0.000491356736414074
recall_mean,0.38475815707493033,0.5613382521724872,0.5401599169262721,0.5486229436519648,0.5523631742908673,0.542966825162595,0.508089796141444
recall_max,0.41238317757009346,0.6210526315789474,0.6004672897196262,0.591812865497076,0.5789473684210527,0.5883040935672514,0.5309941520467836
recall_min,0.36140350877192984,0.5093457943925234,0.46845794392523366,0.5210280373831776,0.522196261682243,0.514018691588785,0.47313084112149534
recall_var,0.00015510752324669226,0.0005208342045810721,0.0009257558778332676,0.0003282819259605636,0.00027212176348811616,0.00030310439633544754,0.0002734352263159018
f1_mean,0.5075676643754587,0.6411858428636479,0.6280896624389085,0.6643835172315278,0.667068730820469,0.6636221666858533,0.6260188912254143
f1_max,0.5356600910470409,0.6769436997319035,0.6609836065573771,0.6944837340876945,0.6991525423728814,0.7024734982332156,0.6493506493506493
f1_min,0.4775888717156105,0.6046195652173914,0.5901398086828551,0.6366880799428979,0.6452533904354033,0.6394849785407726,0.5956834532374101
f1_var,0.00015655083753524587,0.00025947174089877164,0.00028908242879164544,0.0002175335306317656,0.00020570089310362752,0.00022370411393694806,0.0001944956513578732
mcc_mean,0.5265314790659528,0.6392962477451987,0.6283601100166726,0.672558254921689,0.6747981039863518,0.6736507453431141,0.6359117225923162
mcc_max,0.552371805046118,0.6765345451811849,0.6572450043664934,0.703663880728615,0.7082645705791943,0.7118886615366824,0.6605490565546526
mcc_min,0.49446192591740706,0.6031218633592648,0.5993851102962637,0.6451634754848858,0.6518664960013838,0.6483125742566906,0.6034329770316299
mcc_var,0.0001587927938322155,0.0002647829433479319,0.00019828323970164793,0.00019161299301242174,0.00019479730421509227,0.00020442001206944212,0.0001874070005974374
auc-pr:_mean,0.4313691310047181,0.6549413425744126,0.6805720138561068,0.728870580264242,0.7300863058572549,0.7326118180231381,0.6814895505088749
auc-pr:_max,0.481288700140659,0.6788254932975921,0.7117792244086819,0.756552369531089,0.7571050734513887,0.7583409757390482,0.7089155131067
auc-pr:_min,0.3491026760664447,0.6147367356514442,0.6506448718398197,0.6902438943703224,0.6951142789248346,0.6961123451788749,0.6485443162763896
auc-pr:_var,0.002061169205031293,0.00017932757264390323,0.00022010984267420533,0.00018462867452739284,0.00016835813399709447,0.0001584316988297977,0.00021449202424264613
damage_total_mean,6015.164000000001,6015.164000000001,6015.164000000001,6015.164000000001,6015.164000000001,6015.164000000001,6015.164000000001
damage_total_max,6406.42,6406.42,6406.42,6406.42,6406.42,6406.42,6406.42
damage_total_min,5666.31,5666.31,5666.31,5666.31,5666.31,5666.31,5666.31
damage_total_var,34236.24887200003,34236.24887200003,34236.24887200003,34236.24887200003,34236.24887200003,34236.24887200003,34236.24887200003
damage_prevented_mean,2219.208,3648.4736,3484.5408,3524.9136,3555.0488,3510.2512,3356.1388
damage_prevented_max,2406.49,3972.2,3820.2200000000003,3700.2799999999997,3793.16,3691.53,3675.33
damage_prevented_min,2037.4699999999998,3343.41,3022.27,3258.98,3364.4500000000003,3246.76,3113.36
damage_prevented_var,7577.535551999999,23705.847159039982,35648.83027936,18117.608215039993,16221.116850559989,16565.178714559985,21295.418978560007
damage_missed_mean,3795.9559999999997,2366.6904,2530.6232,2490.2504,2460.1152,2504.9128,2659.0252
damage_missed_max,4154.129999999999,2743.9700000000003,2936.2999999999997,2747.48,2708.3,2805.01,2945.8
damage_missed_min,3554.99,1989.1300000000003,2131.29,2196.48,2215.2599999999998,2199.9700000000003,2487.7799999999997
damage_missed_var,25804.081407999973,27738.490811839984,39912.99754975999,16880.381035840004,17528.974184960014,19312.06534015999,17257.65915296003
detected bonus_mean,1646.0,2401.4,2310.8,2347.0,2363.0,2322.8,2173.6
detected bonus_max,1765,2655,2570,2530,2475,2515,2270
detected bonus_min,1545,2180,2005,2230,2235,2200,2025
detected bonus_var,2854.0,9507.04,16925.36,5966.0,4936.0,5490.160000000001,4969.04
fp penalty_mean,1122.0,1620.0,1528.4,877.6,885.6,796.8,983.2
fp penalty_max,1420,2550,1880,1010,1100,990,1280
fp penalty_min,900,1020,950,680,660,620,680
fp penalty_var,16320.0,76856.0,57989.44,10170.24,13120.64,10901.76,22093.76
Bewertung_mean,-3271.9559999999997,-1585.2903999999999,-1748.2232000000001,-1020.8503999999999,-982.7152000000001,-978.9127999999998,-1468.6252000000002
Bewertung_max,-2898.74,-965.78,-1366.7,-527.25,-487.4099999999999,-406.89,-1047.78
Bewertung_min,-3674.13,-1985.06,-2094.91,-1349.65,-1297.18,-1362.71,-1908.6399999999999
Bewertung_var,38411.19340799999,65783.79193183998,38782.59290976001,44012.920555840006,48039.95114496003,50055.222940160005,50080.83131296001
cm,"[[28561.6   112.2]
 [  526.4   329.2]]","[[28511.8    162.  ]
 [  375.32   480.28]]","[[28520.96   152.84]
 [  393.44   462.16]]","[[28586.04    87.76]
 [  386.2    469.4 ]]","[[28585.24    88.56]
 [  383.     472.6 ]]","[[28594.12    79.68]
 [  391.04   464.56]]","[[28575.48    98.32]
 [  420.88   434.72]]"
